Link,Brand,Model,Laptop Series,Part No,Processor Brand,Processor Type,Processor Model,Processor Core,RAM,RAM Type,HDD RPM,Installed SSD Type,Graphics Chipset,Graphics Memory Accessibility,Graphics Memory,Display Size (Inch),Display Type,Display Resolution,Touch Screen,Optical Drive,HDMI Port,LAN,Finger Print Sensor,Operating System,Color,Weight (Kg),Power Adapter,Warranty,Country Of Origin
https://www.ryans.com/lenovo-ideapad-1-15amn7-amd-athlon-silver-7120u-8gb-ram-256gb-ssd-15.6-inch-fhd-display-cloud-grey-laptop,Lenovo,Lenovo IdeaPad 1 15AMN7,IdeaPad,82VG00LCIN,AMD,Not Found,Athlon Silver 7120U,2,8GB,LPDDR5,No HDD,NVMe PCIe,AMD Radeon 610M Graphics,Integrated,Shared,15.6,FHD LED Display,1920x1080,No,No,1,No,No,Free-Dos,Cloud Grey,1.58 kg,65W,2 Year,China
https://www.ryans.com/asus-br1100fka-intel-cdc-n4500-11.6-inch-hd-led-touch-display-dark-grey-education-laptop-bp1039w,Asus,Asus BR1100FKA,ExpertBook,BP1039W,Intel,Not Found,CDC N4500,2,4GB,DDR4,No HDD,NVMe PCIe,Intel UHD Graphics,Integrated,Shared,11.6,HD LED Touch Display,1366x768,Yes,No,1,Yes,No,Win-11 Home,Dark Gray,1.40 kg,45W,3 Year,Taiwan
https://www.ryans.com/chuwi-minibook-x-2-in-1-intel-core-n100-10.5-inch-fhd-plus-wuxga-touch-display-grey-laptop,Chuwi,Chuwi MiniBook X 2 in 1,MiniBook,Not Found,Intel,Not Found,Core N100,4,12GB,LPDDR4,No HDD,NVMe PCIe,Intel UHD Graphics,Integrated,Shared,10.5,FHD+ Display,1920x1200,Yes,No,No,No,No,Win-11 Home,Gray,920 gm,Not Found,2 Year,China
https://www.ryans.com/hp-15s-eq1578au-amd-athlon-silver-3050u-15.6-inch-fhd-display-silver-laptop,HP,HP 15s-eq1578AU,15s,7K1K3PA,AMD,Not Found,Athlon Silver 3050U,2,8GB,DDR4,No HDD,NVMe PCIe,AMD Radeon Graphics,Integrated,Shared,15.6,FHD LED Display,1920x1080,No,No,1,No,No,Win-11 Home,Silver,1.70 kg,45W,2 Year,USA
https://www.ryans.com/infinix-in-book-y2-plus-intel-core-i5-1155g7-8gb-ram-512gb-ssd-15.6-inch-fhd-display-silver-laptop,Infinix,Infinix INBOOK Y2 Plus,INBOOK,Not Found,Intel,Not Found,Core i5 1155G7,4,8GB,LPDDR4x,No HDD,NVMe PCIe,Intel Iris Xe Graphics,Integrated,Shared,15.6,FHD LED Display,1920x1080,No,No,1,No,No,Win-11 Home,Silver,1.80 kg,45W,2 Year,China
https://www.ryans.com/acer-aspire-5-5p-a515-58p-intel-core-i3-1305u-15.6-inch-fhd-ips-display-steel-gray-laptop,Acer,Acer Aspire 5 5P-A515-58P,Aspire,NX.KHJSI.005,Intel,Not Found,Core i3 1305U,5,8GB,LPDDR5,No HDD,NVMe PCIe,Intel UHD Graphics,Integrated,Shared,15.6,FHD LED Display,1920x1080,No,No,1,No,No,Win-11 Home,Steel Gray,1.78 kg,65W,2 Year,Taiwan
https://www.ryans.com/dell-inspiron-15-3520-intel-core-i3-1215u-15.6-inch-fhd-display-platinum-silver-laptop,Dell,Dell Inspiron 15 3520,Inspiron,WARMLKN15ADL23051004PLASPP-2Y,Intel,Not Found,Core i3 1215U,6,8GB,DDR4,No HDD,NVMe PCIe,Intel UHD Graphics,Integrated,Shared,15.6,Full HD Display,1920x1080,No,No,1,No,No,Win-11 Home,Platinum Silver,1.65 kg,65 Watt,2 Year,USA
https://www.ryans.com/acer-aspire-3-a315-59-56vc-intel-core-i5-1235u-8gb-ram-512gb-ssd-15.6-inch-fhd-display-pure-silver-laptop,Acer,Acer Aspire 3 A315-59-56VC,Aspire,NX.K6TSI.00G/UN.K6TSI.023,Intel,Not Found,Core i5 1235U,10,8GB,DDR4,No HDD,NVMe PCIe,Intel Iris Xe Graphics,Integrated,Shared,15.6,FHD LED Display,1920x1080,No,No,Not Found,Unmentioned,No,Free-Dos,Pure Silver,Not Found,Not Found,2 Year,Taiwan
https://www.ryans.com/hp-15s-fq5342tu-intel-core-i5-1235u-8gb-ddr4-512gb-ssd-15.6-inch-fhd-display-silver-laptop,HP,HP 15s-fq5342TU,15s,9T0Y8PA,Intel,Not Found,Core i5 1235U,10,8GB,DDR4,No HDD,NVMe PCIe,Intel Iris Xe Graphics,Integrated,Shared,15.6,FHD LED Display,1920x1080,No,No,1,No,No,Win-11 Home,Silver,1.69 kg,45W,2 Year,USA
https://www.ryans.com/hp-15s-fq5344tu-12th-gen-intel-core-i5-1235u-8gb-ram-512gb-ssd-15.6-inch-fhd-display-spruce-blue-laptop,HP,HP 15s-fq5344TU,15s,9T0Z0PA,Intel,Not Found,Core i5 1235U,10,8GB,DDR4,No HDD,NVMe PCIe,Intel Iris Xe Graphics,Integrated,Shared,15.6,FHD LED Display,1920x1080,No,No,1,No,No,Win-11 Home,Spruce Blue,1.69 kg,45W,2 Year,USA
https://www.ryans.com/hp-15-fc0166au-amd-ryzen-5-7520u-8gb-ddr5-512gb-ssd-15.6-inch-fhd-display-moonlight-blue-laptop,Hp,HP 15-fc0166AU,15,9S532PA,AMD,Not Found,Ryzen 5 7520U,4,8GB,DDR5,No HDD,NVMe PCIe,AMD Radeon 610M Graphics,Integrated,Shared,15.6,FHD LED Display,1920x1080,No,No,1,No,Yes,Win-11 Home,Moonlight Blue,1.59 kg,45W,2 Year,USA
